Layer_Output,Transmission_Time
Layer_1,"2474,9125"
Layer_2,"12518,77"
Layer_3,"12518,77"
Layer_4,"12518,77"
Layer_5,"12966,9825"
Layer_6,"3129,6925"
Layer_7,"3129,6925"
Layer_8,"3129,6925"
Layer_9,"3129,6925"
Layer_10,"3129,6925"
Layer_11,"3129,6925"
Layer_12,"3129,6925"
Layer_13,"12518,77"
Layer_14,"12518,77"
Layer_15,"12518,77"
Layer_16,"12518,77"
Layer_17,"12518,77"
Layer_18,"12518,77"
Layer_19,"3129,6925"
Layer_20,"3129,6925"
Layer_21,"3129,6925"
Layer_22,"3129,6925"
Layer_23,"3129,6925"
Layer_24,"3129,6925"
Layer_25,"12518,77"
Layer_26,"12518,77"
Layer_27,"12518,77"
Layer_28,"12518,77"
Layer_29,"3129,6925"
Layer_30,"3129,6925"
Layer_31,"3129,6925"
Layer_32,"3129,6925"
Layer_33,"3129,6925"
Layer_34,"3129,6925"
Layer_35,"12518,77"
Layer_36,"12518,77"
Layer_37,"12518,77"
Layer_38,"12518,77"
Layer_39,1566.795
Layer_40,1566.795
Layer_41,1566.795
Layer_42,1566.795
Layer_43,1566.795
Layer_44,1566.795
Layer_45,6259.385
Layer_46,6259.385
Layer_47,6259.385
Layer_48,6259.385
Layer_49,6259.385
Layer_50,6259.385
Layer_51,1566.795
Layer_52,1566.795
Layer_53,1566.795
Layer_54,1566.795
Layer_55,1566.795
Layer_56,1566.795
Layer_57,"6263,2825"
Layer_58,"6263,2825"
Layer_59,"6263,2825"
Layer_60,"6263,2825"
Layer_61,1566.795
Layer_62,1566.795
Layer_63,1566.795
Layer_64,1566.795
Layer_65,1566.795
Layer_66,1566.795
Layer_67,6259.385
Layer_68,6259.385
Layer_69,6259.385
Layer_70,6259.385
Layer_71,1566.795
Layer_72,1566.795
Layer_73,1566.795
Layer_74,1566.795
Layer_75,1566.795
Layer_76,1566.795
Layer_77,"6263,2825"
Layer_78,"6263,2825"
Layer_79,"6263,2825"
Layer_80,"6263,2825"
Layer_81,"783,3975"
Layer_82,"783,3975"
Layer_83,"783,3975"
Layer_84,"783,3975"
Layer_85,"783,3975"
Layer_86,"783,3975"
Layer_87,"3129,6925"
Layer_88,"3129,6925"
Layer_89,"3129,6925"
Layer_90,"3129,6925"
Layer_91,"3129,6925"
Layer_92,"3129,6925"
Layer_93,"783,3975"
Layer_94,"783,3975"
Layer_95,"783,3975"
Layer_96,"783,3975"
Layer_97,"783,3975"
Layer_98,"783,3975"
Layer_99,"3129,6925"
Layer_100,"3129,6925"
Layer_101,"3129,6925"
Layer_102,"3129,6925"
Layer_103,"783,3975"
Layer_104,"783,3975"
Layer_105,"783,3975"
Layer_106,"783,3975"
Layer_107,"783,3975"
Layer_108,"783,3975"
Layer_109,"3129,6925"
Layer_110,"3129,6925"
Layer_111,"3129,6925"
Layer_112,"3129,6925"
Layer_113,"783,3975"
Layer_114,"783,3975"
Layer_115,"783,3975"
Layer_116,"783,3975"
Layer_117,"783,3975"
Layer_118,"783,3975"
Layer_119,"3129,6925"
Layer_120,"3129,6925"
Layer_121,"3129,6925"
Layer_122,"3129,6925"
Layer_123,"783,3975"
Layer_124,"783,3975"
Layer_125,"783,3975"
Layer_126,"783,3975"
Layer_127,"783,3975"
Layer_128,"783,3975"
Layer_129,"3129,6925"
Layer_130,"3129,6925"
Layer_131,"3129,6925"
Layer_132,"3129,6925"
Layer_133,"3129,6925"
Layer_134,"783,3975"
Layer_135,"783,3975"
Layer_136,"783,3975"
Layer_137,"783,3975"
Layer_138,"783,3975"
Layer_139,"783,3975"
Layer_140,"3129,6925"
Layer_141,"3129,6925"
Layer_142,"3129,6925"
Layer_143,"3129,6925"
Layer_144,"393,6475"
Layer_145,"393,6475"
Layer_146,"393,6475"
Layer_147,"393,6475"
Layer_148,"393,6475"
Layer_149,"393,6475"
Layer_150,1566.795
Layer_151,1566.795
Layer_152,1566.795
Layer_153,1566.795
Layer_154,1566.795
Layer_155,"393,6475"
Layer_156,"393,6475"
Layer_157,"393,6475"
Layer_158,"393,6475"
Layer_159,"393,6475"
Layer_160,"393,6475"
Layer_161,"393,6475"
Layer_162,1566.795
Layer_163,1566.795
Layer_164,1566.795
Layer_165,1566.795
Layer_166,"393,6475"
Layer_167,"393,6475"
Layer_168,"393,6475"
Layer_169,"393,6475"
Layer_170,"393,6475"
Layer_171,"393,6475"
Layer_172,1566.795
Layer_173,1566.795
Layer_174,1566.795
Layer_175,1566.795
Layer_176,"35,0775"
